등록번호,표찰번호,지번주소,도로명주소,경도,위도,데이터제공일자
8572,북부순환로 (장등교차로) (LP - 6) 4,장등동 산 146-1,,35.21328,126.918304,2022-11-10
8574,북부순환로 (장등교차로) (LP - 6) 6,장등동 958-3,,35.213173,126.918907,2022-11-10
8575,북부순환로 (장등교차로) (LP - 6) 7,장등동 959,,35.213085,126.919182,2022-11-10
8576,북부순환로 (장등교차로) (LP - 6) 8,장등동 958-3,,35.213005,126.919479,2022-11-10
8577,북부순환로 (장등교차로) (LP - 6) 9,장등동 산 162-2,,35.212891,126.919975,2022-11-10
8578,북부순환로 (장등교차로) (LP - 6) 27,장등동 산 162-2,,35.212986,126.920219,2022-11-10
8579,북부순환로 (장등교차로) (LP - 6) 10,장등동 산 162-2,,35.212807,126.920326,2022-11-10
8580,북부순환로 (장등교차로) (LP - 6) 28,장등동 산 162-2,,35.212894,126.92057,2022-11-10
8581,북부순환로 (장등교차로) (LP - 6) 11,장등동 산 162-2,,35.212692,126.920708,2022-11-10
8582,북부순환로 (장등교차로) (LP - 6) 29,장등동 산 162-2,,35.212749,126.921021,2022-11-10
8583,북부순환로 (장등교차로) (LP - 6) 11,장등동 산 163-4,,35.212524,126.921165,2022-11-10
8584,북부순환로 (장등교차로) (LP - 6) 13,장등동 산 163-4,,35.212395,126.921463,2022-11-10
8585,북부순환로 (장등교차로) (LP - 6) 14,장등동 산 163-4,,35.212238,126.921768,2022-11-10
8586,북부순환로 (장등교차로) (LP - 6) 15,장등동 1050-1,,35.212044,126.922119,2022-11-10
8587,북부순환로 (장등교차로) (LP - 6) 16,장등동 949-3,,35.211987,126.92231,2022-11-10
8588,북부순환로 (장등교차로) (LP - 6) 17,장등동 949-3,,35.21188,126.922493,2022-11-10
8589,북부순환로 (장등교차로) (LP - 6) 18,장등동 1049,,35.21183,126.922592,2022-11-10
8590,북부순환로 (장등교차로) (LP - 6) 19,장등동 산 167-3,,35.211746,126.922752,2022-11-10
8591,북부순환로 (장등교차로) (LP - 6) 20,장등동 산 167-3,,35.211609,126.923058,2022-11-10
8592,북부순환로 (장등교차로) (LP - 6) 21,장등동 산 167-3,,35.211502,126.923317,2022-11-10
